"Date","Price","Open","High","Low","Vol.","Change %"
"18-07-2023","180.86","180.75","182.77","179.70","14.94M","0.06%"
"17-07-2023","180.75","181.88","183.71","179.40","11.47M","0.40%"
"14-07-2023","180.04","182.25","183.30","177.52","72.09M","-1.25%"
"13-07-2023","182.32","188.81","189.15","181.27","30.59M","-3.55%"
"12-07-2023","189.04","190.50","191.06","188.36","9.39M","-0.57%"
"11-07-2023","190.13","189.00","191.55","187.54","7.49M","1.40%"
"10-07-2023","187.50","191.59","192.30","186.38","15.32M","-2.13%"
"07-07-2023","191.59","196.91","196.91","191.02","13.15M","-2.76%"
"06-07-2023","197.02","194.96","197.70","190.80","16.71M","3.73%"
"05-07-2023","189.94","187.27","190.46","187.13","5.34M","1.46%"
"04-07-2023","187.20","189.38","189.38","186.90","8.64M","-0.36%"
"03-07-2023","187.88","190.91","191.21","187.13","12.47M","-1.82%"
"30-06-2023","191.36","192.38","194.77","188.40","17.66M","2.00%"
"28-06-2023","187.61","188.10","189.38","184.84","17.81M","0.24%"
"27-06-2023","187.16","186.07","187.54","185.74","11.14M","0.42%"
"26-06-2023","186.38","187.50","187.69","185.36","7.31M","-0.64%"
"23-06-2023","187.57","190.20","190.99","187.16","5.59M","-1.36%"
"22-06-2023","190.16","193.50","193.50","189.52","7.43M","-1.80%"
"21-06-2023","193.65","186.60","194.29","186.56","31.17M","3.80%"
"20-06-2023","186.56","182.89","187.27","182.81","13.43M","2.32%"
"19-06-2023","182.32","184.84","186.23","181.80","10.43M","-1.36%"
"16-06-2023","184.84","184.80","185.51","183.38","9.70M","0.00%"
"15-06-2023","184.84","185.21","185.21","182.85","9.73M","-0.02%"
"14-06-2023","184.88","181.57","185.40","181.57","10.30M","1.75%"
"13-06-2023","181.69","181.50","182.59","181.09","6.44M","0.25%"
"12-06-2023","181.24","183.75","184.84","180.90","8.19M","-1.33%"
"09-06-2023","183.68","182.66","184.13","181.35","11.04M","1.34%"
"08-06-2023","181.24","179.44","184.09","179.44","19.30M","1.02%"
"07-06-2023","179.40","177.52","180.04","177.11","11.15M","1.66%"
"06-06-2023","176.48","177.34","177.75","175.84","6.90M","-0.13%"
"05-06-2023","176.70","177.34","178.50","176.10","27.43M","0.43%"
"02-06-2023","175.95","175.50","176.32","174.82","6.62M","0.69%"
"01-06-2023","174.75","174.71","175.57","172.54","8.80M","-0.36%"
"31-05-2023","175.39","176.25","176.40","172.50","48.10M","-0.53%"
"30-05-2023","176.32","176.93","176.93","175.27","9.47M","0.26%"
"29-05-2023","175.88","178.65","178.76","175.57","13.64M","-1.18%"
"26-05-2023","177.98","178.39","178.43","176.10","6.81M","-0.27%"
"25-05-2023","178.46","178.27","180.23","177.23","12.50M","0.91%"
"24-05-2023","176.85","178.35","178.39","176.14","8.88M","0.73%"
"23-05-2023","175.57","175.54","177.41","175.01","12.46M","-0.11%"
"22-05-2023","175.76","176.02","179.25","174.49","12.57M","0.28%"
"19-05-2023","175.27","176.74","178.13","174.00","10.07M","-0.83%"
"18-05-2023","176.74","180.75","180.75","175.95","14.50M","-1.32%"
"17-05-2023","179.10","180.68","181.43","178.09","11.56M","-0.75%"
"16-05-2023","180.45","182.66","183.41","180.00","11.42M","-1.09%"
"15-05-2023","182.44","182.55","184.24","181.76","12.19M","0.62%"
"12-05-2023","181.31","186.64","187.20","180.86","13.85M","-2.74%"
"11-05-2023","186.41","185.77","186.90","184.95","12.62M","0.36%"
"10-05-2023","185.74","183.86","185.96","183.45","9.69M","1.75%"
"09-05-2023","182.55","183.04","185.18","182.02","9.17M","-0.55%"
"08-05-2023","183.56","181.39","184.69","180.82","8.76M","1.53%"
"05-05-2023","180.79","179.10","181.13","178.65","3.90M","0.92%"
